endpoint	direction	thresCurva	thresDist	threshold	pooled_variance	dist2l	curvature	p1	p2
120_LD_correlation(spearman)	-1	0	0	10	0.11152572561213364	0.03014828768148139	0.0024747651748328755	1	19
120_LD_correlation(spearman)	-1	0	0	15	0.09324483322105737	0.04053451966497452	-4.099730616467627e-4	1	19
120_LD_correlation(spearman)	-1	0	0	20	0.07724815677506998	0.04863653855066954	2.613577138497647e-4	1	19
120_LD_correlation(spearman)	-1	0	0	25	0.06380863929046839	0.05418140166249493	5.919504398279741e-4	1	19
120_LD_correlation(spearman)	-1	0	0	30	0.05538366144201877	0.05471173138882629	-2.222173833619911e-4	1	19
120_LD_correlation(spearman)	-1	0	1	35	0.0471247273792739	0.05507601753642761	3.76617102143168e-4	1	19
120_LD_correlation(spearman)	-1	0	0	40	0.04124349316357563	0.05306260680080144	-1.4296203414716625e-4	1	19
120_LD_correlation(spearman)	-1	1	0	45	0.0357793819565976	0.05063207357640174	3.9544918673346205e-4	1	19
120_LD_correlation(spearman)	-1	0	0	50	0.03298089525014628	0.0455359191741945	-1.593374765579989e-4	1	19
120_LD_correlation(spearman)	-1	0	0	55	0.03010857973022326	0.040513593493430824	2.0646248211824683e-4	1	19
120_LD_correlation(spearman)	-1	0	0	60	0.027420969355018296	0.03530656289818534	-5.778528846662438e-4	1	19
120_LD_correlation(spearman)	-1	0	0	65	0.021605294744481602	0.03322759263911809	6.034826544466511e-4	1	19
120_LD_correlation(spearman)	-1	0	0	70	0.018685550224875228	0.028252695898917227	-4.4603499570638214e-4	1	19
120_LD_correlation(spearman)	-1	0	0	75	0.014475327956272443	0.024568275299123414	5.612286649526775e-4	1	19
120_LD_correlation(spearman)	-1	0	0	80	0.013481023689336914	0.01766794070632613	-2.5524044911455024e-4	1	19
120_LD_correlation(spearman)	-1	0	0	85	0.011506310034758816	0.011748014279084387	-1.0863797719301835e-5	1	19
120_LD_correlation(spearman)	-1	0	0	90	0.00910524455442029	0.006254439146152623	9.404677517217692e-5	1	19
120_LD_correlation(spearman)	-1	0	0	95	0.007465044035726015	0	-1.0829922924955636e-7	1	19
120_LD_similarity(cosine)	-1	0	0	5	0.07392101442672076	0	-3.2289646603168518e-6	1	18
120_LD_similarity(cosine)	-1	0	0	10	0.049103542929623566	0.02046916879033556	0.001570301465673863	1	18
120_LD_similarity(cosine)	-1	0	0	15	0.036625011275871054	0.028599402403335628	-3.5553249526901974e-4	1	18
120_LD_similarity(cosine)	-1	0	0	20	0.02603575703906744	0.034840359313823024	7.586321210819704e-4	1	18
120_LD_similarity(cosine)	-1	0	0	25	0.019888488325000394	0.03663933238132475	-5.468592892179128e-4	1	18
120_LD_similarity(cosine)	-1	0	0	30	0.0117996463622156	0.040379877963332166	4.968530467683117e-4	1	18
120_LD_similarity(cosine)	-1	0	1	35	0.007043701046589142	0.04078752815852667	1.5922817003138803e-4	1	18
120_LD_similarity(cosine)	-1	1	0	40	0.0051946931753708275	0.038288242008580615	2.6156047146784457e-4	1	18
120_LD_similarity(cosine)	-1	0	0	45	0.005034867054501743	0.034099774747054765	-3.946629421767749e-4	1	18
120_LD_similarity(cosine)	-1	0	0	50	0.0024803624859484623	0.03230598502765788	1.676457927597078e-4	1	18
120_LD_similarity(cosine)	-1	0	0	55	8.255321302554266e-4	0.029612521435615408	1.5592288317858497e-4	1	18
120_LD_similarity(cosine)	-1	0	0	60	7.230702478563333e-4	0.025366689957312026	-4.620063478213873e-5	1	18
120_LD_similarity(cosine)	-1	0	0	65	5.347035781350828e-4	0.021206763233845658	-1.2354649825756102e-5	1	18
120_LD_similarity(cosine)	-1	0	0	70	2.4497237005933077e-4	0.017148201010402462	4.69642562689233e-5	1	18
120_LD_similarity(cosine)	-1	0	0	75	2.2529474359969038e-4	0.01281958530746476	-4.587665616057669e-5	1	18
120_LD_similarity(cosine)	-1	0	0	80	4.569294859011798e-6	0.008692017350781235	4.00394137722459e-5	1	18
120_LD_similarity(cosine)	-1	0	0	85	5.632555483116171e-7	0.004347730066620852	-1.0255682760134285e-5	1	18
120_LD_similarity(cosine)	-1	0	0	90	0	0	2.6358533738406707e-6	1	18
120_LD_similarity(cosine)	-1	0	0	95	0	NA	-1.736807066128517e-8	1	18
